sample_name
AF43588
AF59722
AF60740
AF60975
AF61311
AF61392
AF61400
AF61401
AF61719
AF61727
AF61736
AF62079
AF62125
AF62172
AF62175
AF62486
AF62728
AF62733
AF62734
AF62827
AF62827_Reacquire
AF63057
AF63265
AF63412_R1
AF63412_R2
AF63412_Reacquire
AF63414
AF63414_Reacquire
AF63653
AF63737
AF63738
AF63739
AF63743
AF63864
AF64498
AF64511
AF64516
AF64607
AF65000
AF65202
AF65299
AF65300
AF66436
AF66438
AF66440
AF66634
AF66896
AF66896_Reacquire
AF70120
AF70144
AF70917_Reacquire
AF71092
AF71300
AF72167
AF72242
AF73789
AF73790_Reacquire
AF73791
AF73797
AF73798
AF73800
AF73920
AF73921
AF73935
AF73937
AF73938
AF73939
AF74835
AF74836
AF74837
AF74880
AF74885
AF74887
AF74910
AF74912_QC1
AF74912_R1
AF74912_R2
AF75597
AF75628
AF75670
AF75671_QC1
AF75671_QC2
AF75671_R1
AF75671_R2
AF75672
AR1
AR2
AR3
AR5
AR6
AW1
AW10
AW11
AW12
AW13
AW14
AW14_Reacquire
AW15
AW16
AW17
AW2
AW2_Reacquire
AW3
AW4
AW5
AW6_R1
AW6_R2
AW7
AW8
AW9
AWAC139
AWAC139_Filtered
AWAC141
AWAC143
AWAC144
AWAC151_Reacquire
AWAC157
AWAC158
AWAC159
AWAC163
AWAC164
AWAC177
AWAC18
AWAC182
AWAC184
AWAC185
AWAC186
AWAC191
AWAC193
AWAC21
AWAC213
AWAC213_Reacquire
AWAC22
AWAC220
AWAC221_R1
AWAC221_R2
AWAC23
AWAC25
AWAC26
AWAC28
AWAC29
AWAC31
AWAC34
AWAC35
AWAC37
AWAC38
AWAC63
AWAC65
AWAC84
AWAC85
AWAC86
AWAC87
AWAC89
AWAC90
AWAC91
CS_28
CS_28_QC1_Reacquire
CS_28_QC2_Reacquire
CS_28_R1_Reacquire
CS_28_R2_Reacquire
FW1
FW2
FW2_Reacquire
FW3
FW4
June_02_Reacquire
Oak_CHA_03
QP1
QP2
QP3
QP4
QP5
QP6
QP7
ST174
ST580
WYNNS2_QC1
WYNNS2_QC2
WYNNS2_R1
WYNNS2_R2
